Fuel,Year,D_obs_EJ,D_backdated_EJ,D_added_EJ,D_hat_EJ,Cum_D_hat_EJ,Production,Cum_Prod_EJ,Reserves_hat_EJ,Reserves_EI
Gas,2020,342.8741776826856,365.0917945805963,2.957439533673573e-26,365.0917945805963,14443.91339924454,139.21076280179477,4151.968474989913,10291.944924254627,6770.67213914837
Gas,2021,21.36222597924808,22.415087573902557,2.9598061163892363e-26,22.415087573902557,14466.328486818444,145.67667503761368,4297.645150027527,10168.683336790917,6770.67213914837
Gas,2022,57.138989656850256,59.04311893491986,2.9585439389408827e-26,59.04311893491986,14525.371605753364,145.81282821761306,4443.45797824514,10081.913627508224,6770.67213914837
Gas,2023,48.82302420811049,49.64814674259308,2.958228394578794e-26,49.64814674259308,14575.019752495957,146.31185317555355,4589.769831420694,9985.249921075263,6770.67213914837
Gas,2024,8.410555901497577,8.410555901497577,2.9568084449493964e-26,8.410555901497577,14583.430308397454,148.48025959161168,4738.250091012305,9845.180217385148,6770.67213914837
Oil,1900,0.0,0.0,1918.1597961903888,1918.1597961903888,1918.1597961903888,0.0,0.0,1918.1597961903888,4176.957809751994
Oil,1901,1.5398394424292072,2.2969995340187066,1.1984378003125477e-17,2.2969995340187066,1920.4567957244074,0.0,0.0,1920.4567957244074,4176.957809751994
Oil,1902,0.2809398606073018,0.41900292179714216,1.3180717144765105e-23,0.41900292179714216,1920.8757986462044,0.0,0.0,1920.8757986462044,4176.957809751994
Oil,1903,0.0,0.0,2.0321016528814917e-22,2.0321016528814917e-22,1920.8757986462044,0.0,0.0,1920.8757986462044,4176.957809751994
Oil,1904,0.0,0.0,1.2430892863666774e-22,1.2430892863666774e-22,1920.8757986462044,0.0,0.0,1920.8757986462044,4176.957809751994
Oil,1905,8.268938035907432,12.32511488989514,6.6143429731271475e-21,12.32511488989514,1933.2009135360995,0.0,0.0,1933.2009135360995,4176.957809751994
Oil,1906,0.2809398606073018,0.4186596281015533,1.598106481103914e-22,0.4186596281015533,1933.619573164201,0.0,0.0,1933.619573164201,4176.957809751994
Oil,1907,0.0,0.0,1.7842948203493703e-23,1.7842948203493703e-23,1933.619573164201,0.0,0.0,1933.619573164201,4176.957809751994
Oil,1908,0.0,0.0,1.1157244746662518e-23,1.1157244746662518e-23,1933.619573164201,0.0,0.0,1933.619573164201,4176.957809751994
Oil,1909,0.41608,0.6196185613955166,4.4393911058668693e-23,0.6196185613955166,1934.2391917255966,0.0,0.0,1934.2391917255966,4176.957809751994
Oil,1910,0.0,0.0,4.970050894833078e-24,4.970050894833078e-24,1934.2391917255966,0.0,0.0,1934.2391917255966,4176.957809751994
Oil,1911,1.24824,1.8579247087306425,6.423897561783884e-23,1.8579247087306425,1936.0971164343273,0.0,0.0,1936.0971164343273,4176.957809751994
Oil,1912,1.24824,1.8574354228944658,4.6343116935710154e-23,1.8574354228944658,1937.9545518572218,0.0,0.0,1937.9545518572218,4176.957809751994
Oil,1913,0.0,0.0,1.8601971233835635e-24,1.8601971233835635e-24,1937.9545518572218,0.0,0.0,1937.9545518572218,4176.957809751994
Oil,1914,1.24824,1.8564065358951545,2.5614326214300737e-23,1.8564065358951545,1939.8109583931168,0.0,0.0,1939.8109583931168,4176.957809751994
Oil,1915,0.41608,0.6186219304727953,7.60456863923262e-24,0.6186219304727953,1940.4295803235896,0.0,0.0,1940.4295803235896,4176.957809751994
Oil,1916,5.824846345700076,8.657691276126096,7.10890650655436e-23,8.657691276126096,1949.0872715997157,0.0,0.0,1949.0872715997157,4176.957809751994
Oil,1917,0.41608,0.6182428984762537,4.774463877436201e-24,0.6182428984762537,1949.7055144981919,0.0,0.0,1949.7055144981919,4176.957809751994
Oil,1918,2.37536,3.5283509605856085,1.8358724395988926e-23,3.5283509605856085,1953.2338654587775,0.0,0.0,1953.2338654587775,4176.957809751994
Oil,1919,1.24824,1.8535132090584625,7.884469110179518e-24,1.8535132090584625,1955.087378667836,0.0,0.0,1955.087378667836,4176.957809751994
Oil,1920,0.20712000000000003,0.307446760783183,1.1532262910117345e-24,0.307446760783183,1955.3948254286192,0.0,0.0,1955.3948254286192,4176.957809751994
Oil,1921,0.8968593392936688,1.3308140740774443,3.8374233397784746e-24,1.3308140740774443,1956.7256395026966,0.0,0.0,1956.7256395026966,4176.957809751994
Oil,1922,2.6905780178810064,3.9909703335514783,9.284779258480957e-24,3.9909703335514783,1960.7166098362482,0.0,0.0,1960.7166098362482,4176.957809751994
Oil,1923,0.4484296696468344,0.6649080925061178,1.3746122154529593e-24,0.6649080925061178,1961.3815179287542,0.0,0.0,1961.3815179287542,4176.957809751994
Oil,1924,0.4484296696468344,0.6646458659444057,1.1447444585587982e-24,0.6646458659444057,1962.0461637946985,0.0,0.0,1962.0461637946985,4176.957809751994
Oil,1925,2.242148348234172,3.3218737559180904,4.577766143884773e-24,3.3218737559180904,1965.3680375506165,0.0,0.0,1965.3680375506165,4176.957809751994
Oil,1926,0.018955186728833593,0.028071367930604975,1.1934518862907643e-25,0.028071367930604975,1965.396108918547,0.0,0.0,1965.396108918547,4176.957809751994
Oil,1927,1.5432000000000001,2.284379006440198,2.3269503437847318e-24,2.284379006440198,1967.6804879249873,0.0,0.0,1967.6804879249873,4176.957809751994
Oil,1928,2.658228348234172,3.9331648992753596,3.4541252922624476e-24,3.9331648992753596,1971.6136528242628,0.0,0.0,1971.6136528242628,4176.957809751994
Oil,1929,3.994308348234172,5.907294769373369,4.4687140123470206e-24,5.907294769373369,1977.520947593636,0.0,0.0,1977.520947593636,4176.957809751994
Oil,1930,4.555923431452673,6.734629084319994,4.387328810477179e-24,6.734629084319994,1984.255576677956,0.0,0.0,1984.255576677956,4176.957809751994
Oil,1931,0.9218486862905345,1.362008755413333,8.404082322117736e-25,1.362008755413333,1985.6175854333694,0.0,0.0,1985.6175854333694,4176.957809751994
Oil,1932,4.648364392638381,6.86429512983762,3.388694013339796e-24,6.86429512983762,1992.4818805632071,0.0,0.0,1992.4818805632071,4176.957809751994
Oil,1933,1.611,2.3777112650053764,1.0580076243079375e-24,2.3777112650053764,1994.8595918282126,0.0,0.0,1994.8595918282126,4176.957809751994
Oil,1934,0.66576,0.9820668806817054,3.900633186392024e-25,0.9820668806817054,1995.8416587088943,0.0,0.0,1995.8416587088943,4176.957809751994
Oil,1935,1.4137773725810692,2.084279241762917,7.531160398836373e-25,2.084279241762917,1997.9259379506573,0.0,0.0,1997.9259379506573,4176.957809751994
Oil,1936,10.512430789166398,15.488913846745735,4.635927280704908e-24,15.488913846745735,2013.4148517974031,0.0,0.0,2013.4148517974031,4176.957809751994
Oil,1937,5.915555510913102,8.710586810053222,2.7955715868094634e-24,8.710586810053222,2022.1254386074563,0.0,0.0,2022.1254386074563,4176.957809751994
Oil,1938,120.42243759061178,177.20834621998102,4.164983631175206e-23,177.20834621998102,2199.3337848274373,0.0,0.0,2199.3337848274373,4176.957809751994
Oil,1939,1.427617372581069,2.0994423505162763,1.1879614143904261e-24,2.0994423505162763,2201.4332271779535,0.0,0.0,2201.4332271779535,4176.957809751994
Oil,1940,124.00949675413644,182.24373249933424,3.4651112847729175e-23,182.24373249933424,2383.676959677288,0.0,0.0,2383.676959677288,4176.957809751994
Oil,1941,11.167177683303333,16.399719445646557,3.143124768988116e-24,16.399719445646557,2400.0766791229344,0.0,0.0,2400.0766791229344,4176.957809751994
Oil,1942,3.652943508398655,5.360690481775209,8.8726025909466e-25,5.360690481775209,2405.4373696047096,0.0,0.0,2405.4373696047096,4176.957809751994
Oil,1943,8.79971362575796,12.903875805545926,1.865599242862517e-24,12.903875805545926,2418.3412454102554,0.0,0.0,2418.3412454102554,4176.957809751994
Oil,1944,9.73186452621344,14.25969502226313,1.88195706259318e-24,14.25969502226313,2432.6009404325187,0.0,0.0,2432.6009404325187,4176.957809751994
