Fuel,Year,Discoveries,Production,Cumulative_Discoveries,Cumulative_Production,Reserves,EI_Reserves,Delta_vs_EI,NegativeFlag
Gas,1985,10.361601473312021,59.0772384,1630.6155622040023,1241.99201768,388.62354452400245,,,0
Gas,1986,19.395423383148287,60.605226,1650.0109855871506,1302.5972436799998,347.4137419071508,,,0
Gas,1987,74.65114483459308,63.6428808,1724.6621304217438,1366.2401244799998,358.4220059417439,,,0
Gas,1988,75.99407266429688,66.4479648,1800.6562030860407,1432.6880892799998,367.96811380604095,,,0
Gas,1989,86.82816320359956,68.7491784,1887.4843662896403,1501.4372676799999,386.04709860964044,,,0
Gas,1990,45.210906162715574,70.9097976,1932.695272452356,1572.34706528,360.34820717235607,,,0
Gas,1991,16.395686632940613,71.854884,1949.0909590852966,1644.20194928,304.8890098052966,,,0
Gas,1992,24.91495708887726,72.0660312,1974.0059161741738,1716.26798048,257.73793569417376,,,0
Gas,1993,18.002525942688774,72.8866692,1992.0084421168626,1789.15464968,202.8537924368627,,,0
Gas,1994,29.884707164304935,73.953072,2021.8931492811676,1863.10772168,158.7854276011676,,,0
Gas,1995,13.48865880477417,75.1806072,2035.3818080859417,1938.2883288799999,97.09347920594178,,,0
Gas,1996,44.21208751917542,78.839874,2079.5938956051173,2017.12820288,62.46569272511738,,,0
Gas,1997,26.750711177733365,78.7787028,2106.344606782851,2095.90690568,10.437701102850951,,,0
Gas,1998,64.46470599997353,80.8644024,2170.8093127828242,2176.77130808,-5.96199529717569,,,1
Gas,1999,22.578647599843833,83.1699072,2193.387960382668,2259.94121528,-66.55325489733195,,,1
Gas,2000,42.588934026531696,86.4258048,2235.9768944091998,2346.36702008,-110.39012567080044,,,1
Gas,2001,13.953350130786003,88.467048,2249.930244539986,2434.83406808,-184.9038235400144,,,1
Gas,2002,20.945908777552035,90.5304168,2270.876153317538,2525.36448488,-254.488331562462,,,1
Gas,2003,13.044892819378308,93.7687428,2283.921046136916,2619.13322768,-335.2121815430837,,,1
Gas,2004,22.954958985509123,96.9569244,2306.8760051224253,2716.09015208,-409.2141469575745,,,1
Gas,2005,13.641526571307928,99.2796624,2320.5175316937334,2815.36981448,-494.85228278626664,,,1
Gas,2006,38.579185132648696,102.665376,2359.096716826382,2918.03519048,-558.9384736536181,,,1
Gas,2007,17.98739577289416,105.4031256,2377.084112599276,3023.43831608,-646.3542034807238,,,1
Gas,2008,17.378149011626633,109.261116,2394.4622616109027,3132.69943208,-738.2371704690972,,,1
Gas,2009,58.56367436381855,105.8724756,2453.025935974721,3238.57190768,-785.545971705279,,,1
Gas,2010,43.36889111201109,113.4075456,2496.394827086732,3351.97945328,-855.5846261932679,,,1
Gas,2011,13.914452741264261,117.272232,2510.3092798279963,3469.25168528,-958.9424054520036,,,1
Gas,2012,19.79574343398618,119.7427788,2530.1050232619823,3588.99446408,-1058.8894408180176,,,1
Gas,2013,15.192030669479797,121.164984,2545.297053931462,3710.15944808,-1164.862394148538,,,1
Gas,2014,13.03370202837909,123.6816576,2558.330755959841,3833.84110568,-1275.510349720159,,,1
Gas,2015,8.944022635090517,126.282204,2567.274778594932,3960.12330968,-1392.8485310850683,,,1
Gas,2016,3.1270083374182573,127.6010424,2570.40178693235,4087.7243520800002,-1517.32256514765,,,1
Gas,2017,17.70241293165277,132.187428,2588.104199864003,4219.91178008,-1631.8075802159974,,,1
Gas,2018,6.488321170774347,138.80952,2594.5925210347773,4358.72130008,-1764.128779045223,,,1
Gas,2019,17.391986710277244,142.8635232,2611.9845077450545,4501.58482328,-1889.6003155349454,,,1
Gas,2020,20.167456486871767,138.9816,2632.1519642319263,4640.56642328,-2008.4144590480737,,,1
Gas,2021,3.2197231526790144,145.9231308,2635.371687384605,4786.48955408,-2151.1178666953947,,,1
Gas,2022,8.65080796772211,145.577376,2644.022495352327,4932.06693008,-2288.044434727673,,,1
Gas,2023,6.458879330579592,0.0,2650.481374682907,4932.06693008,-2281.5855553970932,,,1
Gas,2024,1.5329385902560322,0.0,2652.0143132731628,4932.06693008,-2280.0526168068372,,,1
Gas,2025,0.03679991304337552,0.0,2652.0511131862063,4932.06693008,-2280.0158168937937,,,1
Coal,1900,0.0,19.26,0.0,19.26,-19.26,,,1
Coal,1901,0.0,19.61,0.0,38.870000000000005,-38.870000000000005,,,1
Coal,1902,0.0,20.08,0.0,58.95,-58.95,,,1
Coal,1903,0.0,21.91,0.0,80.86,-80.86,,,1
Coal,1904,0.0,22.03,0.0,102.89,-102.89,,,1
Coal,1905,0.0,23.75,0.0,126.64,-126.64,,,1
Coal,1906,0.0,25.08,0.0,151.72,-151.72,,,1
Coal,1907,0.0,27.74,0.0,179.46,-179.46,,,1
Coal,1908,0.0,26.36,0.0,205.82,-205.82,,,1
Coal,1909,0.0,27.55,0.0,233.37,-233.37,,,1
Coal,1910,0.0,29.02,0.0,262.39,-262.39,,,1
Coal,1911,0.0,29.54,0.0,291.93,-291.93,,,1
Coal,1912,0.0,31.0,0.0,322.93,-322.93,,,1
Coal,1913,0.0,33.22,0.0,356.15,-356.15,,,1
Coal,1914,0.0,29.81,0.0,385.96,-385.96,,,1
Coal,1915,0.0,29.34,0.0,415.29999999999995,-415.29999999999995,,,1
Coal,1916,0.0,31.47,0.0,446.77,-446.77,,,1
Coal,1917,0.0,32.77,0.0,479.53999999999996,-479.53999999999996,,,1
Coal,1918,0.0,32.19,0.0,511.72999999999996,-511.72999999999996,,,1
Coal,1919,0.0,27.3,0.0,539.03,-539.03,,,1
Coal,1920,0.0,31.29,0.0,570.3199999999999,-570.3199999999999,,,1
Coal,1921,0.0,26.13,0.0,596.4499999999999,-596.4499999999999,,,1
Coal,1922,0.0,27.58,0.0,624.03,-624.03,,,1
Coal,1923,0.0,32.12,0.0,656.15,-656.15,,,1
Coal,1924,0.0,31.28,0.0,687.43,-687.43,,,1
Coal,1925,0.0,31.36,0.0,718.79,-718.79,,,1
Coal,1926,0.0,31.22,0.0,750.01,-750.01,,,1
Coal,1927,0.0,33.64,0.0,783.65,-783.65,,,1
Coal,1928,0.0,33.04,0.0,816.6899999999999,-816.6899999999999,,,1
Coal,1929,0.0,35.14,0.0,851.8299999999999,-851.8299999999999,,,1
Coal,1930,0.0,32.11,0.0,883.9399999999999,-883.9399999999999,,,1
Coal,1931,0.0,28.32,0.0,912.26,-912.26,,,1
Coal,1932,0.0,25.18,0.0,937.4399999999999,-937.4399999999999,,,1
Coal,1933,0.0,26.36,0.0,963.8,-963.8,,,1
Coal,1934,0.0,28.77,0.0,992.5699999999999,-992.5699999999999,,,1
Coal,1935,0.0,30.0,0.0,1022.5699999999999,-1022.5699999999999,,,1
Coal,1936,0.0,32.96,0.0,1055.53,-1055.53,,,1
Coal,1937,0.0,34.63,0.0,1090.16,-1090.16,,,1
Coal,1938,0.0,32.31,0.0,1122.47,-1122.47,,,1
Coal,1939,0.0,34.13,0.0,1156.6000000000001,-1156.6000000000001,,,1
Coal,1940,0.0,37.64,0.0,1194.2400000000002,-1194.2400000000002,,,1
Coal,1941,0.0,39.02,0.0,1233.2600000000002,-1233.2600000000002,,,1
