Year,Oil_Discoveries_Cumulative_Backdated,Oil_Discoveries,Gas_Discoveries,Coal_Discoveries,Oil_Production,Oil_Reserves,Gas_Production,Gas_Reserves,Coal_Production,Coal_Reserves
2007,12355.918317999998,16942.898033088128,11220.730401467115,78140.97122679389,6355.770000000001,10587.128033088127,3023.43831608,8197.292085387115,5950.41,72190.56122679388
2008,12538.8634119,17146.470939019466,11265.881077682918,78508.66193782336,6523.260000000001,10623.210939019464,3132.69943208,8133.181645602917,6093.349999999999,72415.31193782335
2009,12653.011925,17562.34169908235,11310.533305633193,78890.54271381172,6686.580000000001,10875.761699082348,3238.57190768,8071.961397953193,6236.079999999999,72654.46271381172
2010,12808.2846556,17724.501770082286,11554.26081484609,79376.82112629402,6853.130000000001,10871.371770082285,3351.97945328,8202.281361566089,6386.469999999999,72990.35112629402
2011,12898.219846999998,17775.037803696865,11762.419586998702,80015.69686934887,7020.970000000001,10754.067803696864,3469.25168528,8293.167901718702,6547.53,73468.16686934888
2012,12965.4790753,17842.586578841416,12091.49471909142,80383.45497218714,7193.490000000002,10649.096578841414,3588.99446408,8502.50025501142,6710.28,73673.17497218715
2013,13026.973224099998,18025.41275848062,12326.49391257143,80665.92867298568,7366.240000000002,10659.172758480618,3710.15944808,8616.33446449143,6875.65,73790.27867298569
2014,13071.556483199998,18080.21283015412,12444.825153987107,80896.7089393733,7543.050000000002,10537.162830154117,3833.84110568,8610.984048307108,7040.61,73856.0989393733
2015,13099.2288526,18106.922873914667,12639.682013880634,81140.16409098089,7725.790000000002,10381.132873914667,3960.12330968,8679.558704200634,7200.98,73939.1840909809
2016,13126.9012159,18130.366935854807,12678.94073089567,81613.22072460687,7909.050000000002,10221.316935854804,4087.7243520800002,8591.21637881567,7352.5599999999995,74260.66072460687
2017,13164.950722299998,18488.04337874139,12701.077819303984,82080.8305254654,8092.640000000002,10395.403378741386,4219.91178008,8481.166039223983,7507.57,74573.26052546539
2018,13198.7725017,18747.75724961726,12826.059338933654,82807.55923793952,8280.530000000002,10467.227249617259,4358.72130008,8467.338038853653,7669.87,75137.68923793953
2019,13217.2207317,18952.905932985406,12939.57975448954,83293.89624442656,8468.060000000003,10484.845932985403,4501.58482328,8437.99493120954,7833.82,75460.07624442657
2020,13293.4707317,19138.09415238516,13304.671549070135,83700.48238051016,8642.880000000003,10495.214152385159,4640.56642328,8664.105125790134,7990.04,75710.44238051017
2021,13322.140731699998,19338.47209301971,13327.08663664404,84262.21432217136,8819.970000000003,10518.502093019708,4786.48955408,8540.59708256404,8152.54,76109.67432217137
2022,13444.140731699998,19549.102388856318,13386.12975557896,84567.46410253679,9004.490000000003,10544.612388856314,4932.06693008,8454.06282549896,8327.1,76240.36410253678
2023,13462.440731699999,19764.58268351937,13435.777902321552,85128.48042646839,,,,,,
2024,13480.740731699998,19978.69141676872,13444.18845822305,85662.87600000005,,,,,,
