Fuel,Year,Discoveries,Cumulative_Discoveries,Production,Cumulative_Production,Reserves
Gas,2022,8.65080796772211,2644.022495352327,145.577376,4932.06693008,-2288.044434727673
Gas,2023,6.458879330579592,2650.481374682907,0.0,4932.06693008,-2281.5855553970932
Gas,2024,1.5329385902560322,2652.0143132731628,0.0,4932.06693008,-2280.0526168068372
Gas,2025,0.03679991304337552,2652.0511131862063,0.0,4932.06693008,-2280.0158168937937
Oil,1869,5.82265462627119,5.82265462627119,0.0,0.0,5.82265462627119
Oil,1887,0.83216,6.65481462627119,0.0,0.0,6.65481462627119
Oil,1889,0.83216,7.48697462627119,0.0,0.0,7.48697462627119
Oil,1890,0.41608,7.90305462627119,0.0,0.0,7.90305462627119
Oil,1899,0.83216,8.73521462627119,0.0,0.0,8.73521462627119
Oil,1900,0.0,8.73521462627119,0.85,0.85,7.885214626271191
Oil,1901,1.5398394424292072,10.275054068700397,0.95,1.7999999999999998,8.475054068700398
Oil,1902,0.2809398606073018,10.555993929307698,1.03,2.83,7.725993929307698
Oil,1903,0.0,10.555993929307698,1.1,3.93,6.625993929307699
Oil,1904,0.0,10.555993929307698,1.23,5.16,5.395993929307698
Oil,1905,8.268938035907432,18.82493196521513,1.21,6.37,12.454931965215128
Oil,1906,0.2809398606073018,19.10587182582243,1.21,7.58,11.52587182582243
Oil,1907,0.0,19.10587182582243,1.49,9.07,10.03587182582243
Oil,1908,0.0,19.10587182582243,1.61,10.68,8.42587182582243
Oil,1909,0.41608,19.52195182582243,1.7,12.379999999999999,7.1419518258224315
Oil,1910,0.0,19.52195182582243,1.85,14.229999999999999,5.291951825822432
Oil,1911,1.24824,20.77019182582243,1.95,16.18,4.59019182582243
Oil,1912,1.24824,22.01843182582243,1.99,18.169999999999998,3.8484318258224306
Oil,1913,0.0,22.01843182582243,2.19,20.36,1.6584318258224293
Oil,1914,1.24824,23.266671825822428,2.26,22.619999999999997,0.6466718258224304
Oil,1915,0.41608,23.68275182582243,2.42,25.04,-1.3572481741775704
Oil,1916,5.824846345700076,29.507598171522503,2.6,27.64,1.867598171522502
Oil,1917,0.41608,29.923678171522504,2.87,30.51,-0.586321828477498
Oil,1918,2.37536,32.299038171522504,2.85,33.36,-1.0609618284774953
Oil,1919,1.24824,33.54727817152251,3.25,36.61,-3.0627218284774926
Oil,1920,0.20712000000000003,33.75439817152251,4.16,40.769999999999996,-7.015601828477486
